model,mae_mps,rmse_mps,mae_kmh,rmse_kmh,macro_journey_mae_mps,r2,cv_macro_mae_mps,epochs,training_s,device,single_window_end_to_end_ms
cnn,3.6176908016204834,4.552704001333151,13.02368688583374,16.389734404799345,4.919819136460622,0.47395896911621094,4.654585883730934,1.0,0.15481089999957476,cuda,0.7892439999977796
random_forest,3.5631813174019893,4.547158309583882,12.827452742647163,16.369769914501976,5.168334369388446,0.47523967272483736,5.184043889070261,,9.471050699999978,cpu,32.27553599999737
gru,4.5168681144714355,5.259574334214132,16.260725212097167,18.934467603170873,5.517870942751567,0.2979274392127991,4.93187464702697,6.0,1.2092678999997588,cuda,1.2312154999972336
